calificacion,jornada,genero,estado.civil,preferencia.politica
2,vespertina,masculino,otro,izquierda
3,vespertina,femenino,soltero,izquierda
1,vespertina,masculino,soltero,derecha
3,matutina,masculino,otro,derecha
3,matutina,masculino,otro,izquierda
3,matutina,masculino,soltero,derecha
1,matutina,masculino,soltero,derecha
3,matutina,masculino,soltero,izquierda
3,matutina,femenino,otro,derecha
3,matutina,femenino,otro,derecha
2,matutina,masculino,soltero,derecha
2,vespertina,masculino,soltero,derecha
3,vespertina,masculino,otro,izquierda
1,matutina,femenino,otro,izquierda
2,matutina,masculino,soltero,derecha
